,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
612,Boston Celtics,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,FleetCenter,709049.0,17294.0,2003
613,Washington Wizards,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,-1.1,88.2,0.325,0.127,0.513,0.46,13.0,27.3,0.253,MCI Center,827093.0,20173.0,2003
614,Golden State Warriors,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,-1.2,94.2,0.343,0.178,0.526,0.472,13.9,35.0,0.267,The Arena in Oakland,634935.0,15486.0,2003
615,New York Knicks,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,-1.5,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,Madison Square Garden (IV),779479.0,19012.0,2003
616,Memphis Grizzlies,28,54,32,50,-3.23,0.63,-2.6,103.9,107.3,-3.4,92.7,0.287,0.19,0.526,0.487,14.2,27.0,0.212,Pyramid Arena,611322.0,14910.0,2003
617,Atlanta Hawks,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91.0,0.313,0.177,0.527,0.476,15.7,27.9,0.248,Philips Arena,528655.0,12894.0,2003
618,Los Angeles Clippers,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,STAPLES Center,706471.0,17231.0,2003
619,Chicago Bulls,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,United Center,804309.0,19617.0,2003
620,Miami Heat,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,AmericanAirlines Arena,628242.0,15323.0,2003
621,Toronto Raptors,24,58,24,58,-5.87,-0.23,-6.1,100.5,107.0,-6.5,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,Air Canada Centre,777507.0,18964.0,2003
622,Denver Nuggets,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,0.283,0.126,0.469,0.428,17.1,31.3,0.198,Pepsi Center,607813.0,14825.0,2003
623,Cleveland Cavaliers,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,0.298,0.133,0.491,0.444,16.4,31.0,0.223,Gund Arena,471374.0,11497.0,2003
624,San Antonio Spurs,57,25,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,SBC Center,739706.0,18042.0,2004
625,Detroit Pistons,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,The Palace of Auburn Hills,872902.0,21290.0,2004
626,Indiana Pacers,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,Conseco Fieldhouse,678326.0,16545.0,2004
627,Minnesota Timberwolves,58,24,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.265,0.137,0.528,0.486,12.4,26.7,0.207,Target Center,723071.0,17636.0,2004
628,Sacramento Kings,55,27,55,27,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.305,0.223,0.554,0.507,13.0,26.0,0.242,ARCO Arena (II),709997.0,17317.0,2004
629,Dallas Mavericks,52,30,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,American Airlines Center,825594.0,20136.0,2004
630,Los Angeles Lakers,56,26,52,30,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,STAPLES Center,777757.0,18970.0,2004
631,New Jersey Nets,47,35,49,33,2.5,-0.63,1.88,100.8,98.0,2.8,89.4,0.291,0.176,0.515,0.471,14.4,25.9,0.219,Continental Airlines Arena,613051.0,14952.0,2004
632,Memphis Grizzlies,50,32,48,34,2.44,0.52,2.95,104.8,102.2,2.6,91.4,0.322,0.197,0.522,0.479,13.9,29.5,0.234,Pyramid Arena,622723.0,15188.0,2004
633,Houston Rockets,45,37,47,35,1.73,0.55,2.28,100.9,99.0,1.9,87.8,0.286,0.227,0.528,0.484,16.4,26.5,0.221,Toyota Center,640794.0,15629.0,2004
634,Denver Nuggets,43,39,44,38,1.07,0.58,1.65,103.9,102.7,1.2,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,Pepsi Center,721476.0,17597.0,2004
635,Milwaukee Bucks,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,Bradley Center,690180.0,16834.0,2004
636,Miami Heat,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,0.298,0.211,0.51,0.463,13.5,27.4,0.227,AmericanAirlines Arena,624809.0,15239.0,2004
637,New Orleans Hornets,41,41,41,41,-0.1,-0.62,-0.72,102.3,102.4,-0.1,89.1,0.293,0.252,0.505,0.46,14.1,30.6,0.22,New Orleans Arena,587613.0,14332.0,2004
638,Seattle SuperSonics,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,KeyArena at Seattle Center,625474.0,15154.0,2004
639,Golden State Warriors,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,The Arena in Oakland,665648.0,16235.0,2004
640,Portland Trail Blazers,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,0.267,0.17,0.515,0.478,14.4,31.2,0.195,Rose Garden Arena,684038.0,16684.0,2004
641,Utah Jazz,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,Delta Center,785330.0,19154.0,2004
642,Boston Celtics,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,FleetCenter,664248.0,16201.0,2004
643,New York Knicks,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,0.266,0.171,0.518,0.474,15.1,28.0,0.211,Madison Square Garden (IV),785739.0,19164.0,2004
644,Philadelphia 76ers,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,0.321,0.158,0.505,0.456,15.5,28.2,0.242,Wachovia Center,788128.0,19223.0,2004
645,Cleveland Cavaliers,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,Gund Arena,749790.0,18288.0,2004
646,Toronto Raptors,33,49,31,51,-3.01,-0.4,-3.42,97.0,100.4,-3.4,86.8,0.26,0.204,0.495,0.454,14.1,23.8,0.195,Air Canada Centre,750608.0,18308.0,2004
647,Phoenix Suns,29,53,30,52,-3.74,0.8,-2.94,101.4,105.5,-4.1,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,America West Arena,670385.0,16351.0,2004
648,Los Angeles Clippers,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,0.35,0.156,0.512,0.453,15.0,32.8,0.275,STAPLES Center,665396.0,16143.0,2004
649,Atlanta Hawks,28,54,28,54,-4.65,-0.36,-5.0,101.0,106.1,-5.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,Philips Arena,565728.0,13798.0,2004
650,Washington Wizards,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,0.337,0.194,0.5,0.454,16.0,30.7,0.241,MCI Center,645363.0,15741.0,2004
651,Chicago Bulls,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,0.272,0.186,0.486,0.446,14.9,28.1,0.197,United Center,809177.0,19736.0,2004
652,Orlando Magic,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,TD Waterhouse Centre,589144.0,14369.0,2004
653,San Antonio Spurs,59,23,63,19,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.329,0.216,0.534,0.492,13.2,29.1,0.238,SBC Center,750970.0,18316.0,2005
654,Phoenix Suns,62,20,59,23,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.296,0.289,0.571,0.534,12.4,27.5,0.222,America West Arena,726066.0,17709.0,2005
655,Miami Heat,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.559,0.524,13.1,27.0,0.26,AmericanAirlines Arena,815143.0,19882.0,2005
656,Dallas Mavericks,58,24,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,American Airlines Center,822533.0,20062.0,2005
657,Houston Rockets,51,31,53,29,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,Toyota Center,663444.0,16182.0,2005
658,Detroit Pistons,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.164,0.519,0.472,13.3,31.2,0.247,The Palace of Auburn Hills,905116.0,22076.0,2005
659,Seattle SuperSonics,52,30,48,34,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.328,0.281,0.546,0.495,13.0,32.4,0.259,KeyArena at Seattle Center,675490.0,16475.0,2005
660,Memphis Grizzlies,45,37,48,34,2.29,0.34,2.64,105.5,102.9,2.6,88.5,0.323,0.237,0.535,0.489,14.3,27.1,0.243,FedEx Forum,691362.0,16862.0,2005
661,Sacramento Kings,50,32,47,35,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,0.496,12.0,28.8,0.226,ARCO Arena (II),709997.0,17317.0,2005
662,Denver Nuggets,49,33,47,35,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,Pepsi Center,723949.0,17657.0,2005
663,Minnesota Timberwolves,44,38,45,37,1.45,0.28,1.73,108.2,106.6,1.6,89.1,0.275,0.173,0.534,0.489,12.7,28.6,0.219,Target Center,704438.0,17181.0,2005
664,Chicago Bulls,47,35,44,38,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,United Center,828384.0,20204.0,2005
665,Boston Celtics,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,FleetCenter,656081.0,16002.0,2005
666,Cleveland Cavaliers,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,0.9,89.7,0.325,0.135,0.518,0.47,13.0,32.5,0.244,Gund Arena,784249.0,19128.0,2005
667,Indiana Pacers,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,0.9,87.2,0.358,0.255,0.534,0.476,14.1,26.4,0.283,Conseco Fieldhouse,696764.0,16994.0,2005
668,Washington Wizards,45,37,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,MCI Center,705069.0,17197.0,2005
669,Philadelphia 76ers,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,0.326,0.216,0.528,0.475,14.2,25.4,0.257,Wachovia Center,732686.0,17870.0,2005
670,Los Angeles Clippers,37,45,39,43,-0.77,0.3,-0.47,105.5,106.4,-0.9,89.1,0.357,0.105,0.533,0.477,14.9,30.3,0.278,STAPLES Center,696181.0,16980.0,2005
671,New Jersey Nets,42,40,36,46,-1.5,-0.32,-1.82,101.4,103.1,-1.7,89.1,0.318,0.187,0.512,0.463,13.7,25.5,0.242,Continental Airlines Arena,618681.0,15090.0,2005
672,Toronto Raptors,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,0.316,0.253,0.539,0.492,12.5,23.7,0.244,Air Canada Centre,703388.0,17156.0,2005
673,Golden State Warriors,34,48,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,0.278,0.252,0.512,0.475,12.3,27.8,0.201,Oakland Arena,670368.0,16350.0,2005
674,Orlando Magic,36,46,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,0.35,0.137,0.529,0.478,14.6,29.9,0.265,TD Waterhouse Centre,597942.0,14584.0,2005
675,New York Knicks,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,0.312,0.188,0.531,0.485,13.8,28.3,0.239,Madison Square Garden (IV),800144.0,19516.0,2005
676,Milwaukee Bucks,30,52,32,50,-2.99,-0.1,-3.09,106.6,109.8,-3.2,90.8,0.339,0.141,0.527,0.475,13.0,29.0,0.261,Bradley Center,637009.0,15537.0,2005
677,Los Angeles Lakers,34,48,33,49,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,0.322,0.273,0.535,0.485,13.4,29.5,0.251,STAPLES Center,770494.0,18793.0,2005
678,Portland Trail Blazers,27,55,29,53,-4.0,0.55,-3.45,103.2,107.7,-4.5,89.8,0.303,0.181,0.524,0.484,15.2,29.6,0.219,Rose Garden Arena,680374.0,16594.0,2005
679,Utah Jazz,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,0.361,0.121,0.522,0.469,15.0,31.9,0.273,Delta Center,769014.0,18756.0,2005
680,Charlotte Bobcats,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,0.306,0.128,0.497,0.455,13.3,29.5,0.217,Charlotte Coliseum,591701.0,14432.0,2005
681,New Orleans Hornets,18,64,21,61,-7.07,0.78,-6.3,99.7,107.7,-8.0,87.6,0.279,0.201,0.493,0.446,14.2,29.1,0.214,New Orleans Arena,583070.0,14221.0,2005
682,Atlanta Hawks,13,69,16,66,-9.71,0.09,-9.62,100.6,111.1,-10.5,91.4,0.299,0.146,0.504,0.464,14.9,30.7,0.212,Philips Arena,586390.0,14302.0,2005
683,San Antonio Spurs,63,19,61,21,6.82,-0.13,6.69,107.3,99.6,7.7,88.5,0.298,0.215,0.546,0.513,13.6,26.0,0.209,SBC Center,770677.0,18797.0,2006
684,Detroit Pistons,64,18,60,22,6.67,-0.44,6.24,110.8,103.1,7.7,86.8,0.297,0.221,0.535,0.497,11.2,28.9,0.216,The Palace of Auburn Hills,905116.0,22076.0,2006
685,Dallas Mavericks,60,22,58,24,6.07,-0.11,5.96,111.8,105.0,6.8,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,American Airlines Center,824693.0,20114.0,2006
686,Phoenix Suns,54,28,55,27,5.55,-0.07,5.48,111.5,105.8,5.7,95.8,0.206,0.293,0.568,0.537,12.2,22.1,0.166,America West Arena,730179.0,17809.0,2006
687,Memphis Grizzlies,49,33,52,30,3.7,0.05,3.74,105.9,101.6,4.3,86.3,0.339,0.258,0.537,0.496,13.9,25.8,0.241,FedEx Forum,647533.0,15793.0,2006
688,Miami Heat,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,4.2,91.6,0.363,0.227,0.556,0.517,13.9,26.7,0.254,AmericanAirlines Arena,818149.0,19955.0,2006
689,Los Angeles Lakers,45,37,48,34,2.5,0.03,2.53,108.4,105.7,2.7,90.9,0.329,0.24,0.539,0.495,13.1,28.8,0.245,STAPLES Center,774189.0,18883.0,2006
690,Cleveland Cavaliers,50,32,48,34,2.23,-0.06,2.17,107.8,105.4,2.4,89.8,0.362,0.228,0.538,0.492,13.3,28.4,0.263,Gund Arena,792391.0,19327.0,2006
691,Indiana Pacers,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,2.1,89.7,0.344,0.245,0.533,0.487,14.8,27.1,0.254,Conseco Fieldhouse,663368.0,16180.0,2006
692,Washington Wizards,42,40,46,36,1.85,-0.29,1.57,109.3,107.3,2.0,92.3,0.375,0.209,0.538,0.484,12.8,29.5,0.284,MCI Center,705062.0,17197.0,2006
693,Sacramento Kings,44,38,45,37,1.54,0.07,1.61,106.7,105.0,1.7,91.9,0.334,0.217,0.544,0.492,13.9,25.4,0.262,ARCO Arena (II),709997.0,17317.0,2006
694,Los Angeles Clippers,47,35,46,36,1.57,0.18,1.75,105.3,103.6,1.7,91.7,0.332,0.131,0.54,0.487,13.8,25.4,0.263,STAPLES Center,712409.0,17376.0,2006
695,New Jersey Nets,49,33,45,37,1.37,-0.26,1.11,103.9,102.4,1.5,89.8,0.346,0.229,0.528,0.478,13.3,24.0,0.262,Continental Airlines Arena,691543.0,16867.0,2006
696,Chicago Bulls,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,0.6,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,United Center,868720.0,21188.0,2006
697,Denver Nuggets,44,38,42,40,0.23,0.13,0.36,105.5,105.2,0.3,93.9,0.347,0.161,0.535,0.488,13.7,26.8,0.258,Pepsi Center,702555.0,17135.0,2006
698,Milwaukee Bucks,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,Bradley Center,681337.0,16618.0,2006
699,Orlando Magic,36,46,38,44,-1.07,-0.18,-1.26,106.3,107.5,-1.2,88.3,0.369,0.129,0.543,0.496,14.7,28.5,0.27,TD Waterhouse Centre,638005.0,15561.0,2006
700,Golden State Warriors,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,-1.4,93.3,0.323,0.27,0.521,0.479,13.0,26.9,0.232,Oakland Arena,749185.0,18273.0,2006
701,Houston Rockets,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,-1.7,88.0,0.317,0.226,0.519,0.471,14.3,25.5,0.24,Toyota Center,636110.0,15515.0,2006
702,Boston Celtics,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,-1.7,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,TD Banknorth Garden,692873.0,16899.0,2006
703,Minnesota Timberwolves,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,-2.1,88.8,0.299,0.149,0.524,0.48,14.2,25.2,0.226,Target Center,662167.0,16150.0,2006
704,Philadelphia 76ers,38,44,35,47,-1.95,-0.15,-2.1,106.0,108.1,-2.1,92.7,0.356,0.158,0.538,0.487,13.3,25.6,0.27,Wachovia Center,677278.0,16519.0,2006
705,Utah Jazz,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,-2.9,87.8,0.397,0.149,0.519,0.467,15.0,32.4,0.286,Delta Center,751621.0,18332.0,2006
706,New Orleans/Oklahoma City Hornets,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,-3.1,89.0,0.339,0.138,0.515,0.464,12.9,26.9,0.257,Ford Center,744920.0,18717.0,2006
707,Toronto Raptors,27,55,33,49,-2.99,-0.04,-3.03,109.5,112.7,-3.2,91.1,0.315,0.244,0.548,0.5,12.4,25.4,0.249,Air Canada Centre,699332.0,17057.0,2006
708,Seattle SuperSonics,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,-3.3,91.6,0.314,0.243,0.551,0.504,13.7,30.4,0.246,KeyArena at Seattle Center,664157.0,16199.0,2006
709,Charlotte Bobcats,26,56,30,52,-4.0,0.1,-3.9,102.5,106.7,-4.2,93.4,0.319,0.184,0.509,0.464,13.0,27.1,0.233,Charlotte Bobcats Arena,671011.0,16366.0,2006
710,Atlanta Hawks,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,-5.2,90.4,0.34,0.178,0.534,0.486,14.7,31.4,0.255,Philips Arena,617817.0,15069.0,2006
711,New York Knicks,23,59,24,58,-6.4,0.11,-6.3,104.0,111.0,-7.0,90.8,0.417,0.142,0.534,0.481,16.5,31.2,0.303,Madison Square Garden (IV),776176.0,18931.0,2006
712,Portland Trail Blazers,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,-10.8,87.6,0.31,0.166,0.511,0.474,14.5,26.6,0.214,Rose Garden Arena,617019.0,15049.0,2006
713,San Antonio Spurs,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.313,0.247,0.561,0.521,13.6,24.2,0.235,AT&T Center,764823.0,18654.0,2007
714,Dallas Mavericks,67,15,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.317,0.218,0.559,0.509,13.4,28.7,0.256,American Airlines Center,834411.0,20351.0,2007
715,Phoenix Suns,61,21,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.267,0.287,0.59,0.551,13.4,22.7,0.215,US Airways Center,755302.0,18422.0,2007
716,Chicago Bulls,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.313,0.186,0.534,0.493,14.7,28.6,0.229,United Center,912364.0,22253.0,2007
717,Houston Rockets,52,30,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,0.292,0.29,0.54,0.499,13.6,25.7,0.22,Toyota Center,678362.0,16545.0,2007
718,Detroit Pistons,53,29,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.307,0.201,0.535,0.488,12.0,28.3,0.237,The Palace of Auburn Hills,905116.0,22076.0,2007
719,Cleveland Cavaliers,50,32,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.211,0.522,0.484,13.4,29.7,0.223,Quicken Loans Arena,837883.0,20436.0,2007
720,Utah Jazz,51,31,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.283,EnergySolutions Arena,802214.0,19566.0,2007
721,Denver Nuggets,45,37,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.212,0.548,0.501,14.6,28.9,0.268,Pepsi Center,706437.0,17230.0,2007
722,Toronto Raptors,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,0.303,0.224,0.55,0.504,13.0,22.2,0.239,Air Canada Centre,748603.0,18259.0,2007
723,Orlando Magic,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.393,0.158,0.544,0.5,16.3,29.3,0.276,Amway Arena,700887.0,17095.0,2007
724,Los Angeles Lakers,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.333,0.259,0.554,0.511,14.3,26.1,0.249,STAPLES Center,778415.0,18986.0,2007
725,Golden State Warriors,42,40,40,42,-0.34,0.34,0.0,107.0,107.4,-0.4,99.2,0.3,0.279,0.548,0.512,14.1,25.6,0.215,Oracle Arena,742267.0,18104.0,2007
726,Washington Wizards,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.356,0.237,0.542,0.491,12.6,28.1,0.272,Verizon Center,753283.0,18373.0,2007
727,Los Angeles Clippers,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.355,0.143,0.537,0.481,14.5,27.2,0.28,STAPLES Center,755261.0,18421.0,2007
728,New Jersey Nets,41,41,39,43,-0.77,-0.23,-1.0,105.7,106.6,-0.9,91.4,0.338,0.263,0.546,0.504,14.2,24.6,0.245,Continental Airlines Arena,693955.0,16926.0,2007
729,Miami Heat,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.321,0.245,0.541,0.506,14.3,24.9,0.222,AmericanAirlines Arena,808541.0,19721.0,2007
730,New Orleans/Oklahoma City Hornets,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.291,0.188,0.52,0.479,13.6,29.1,0.215,Ford Center,731165.0,17954.0,2007
731,Sacramento Kings,33,49,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.379,0.232,0.545,0.491,13.5,23.1,0.289,ARCO Arena (II),709997.0,17317.0,2007
732,Indiana Pacers,35,47,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.324,0.212,0.523,0.474,15.1,28.4,0.246,Conseco Fieldhouse,629750.0,15360.0,2007
733,Seattle SuperSonics,31,51,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.288,0.219,0.544,0.499,14.5,27.8,0.228,KeyArena at Seattle Center,654163.0,15955.0,2007
734,New York Knicks,33,49,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.377,0.216,0.539,0.494,15.9,31.0,0.27,Madison Square Garden (IV),770617.0,18796.0,2007
735,Philadelphia 76ers,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.333,0.128,0.53,0.48,14.6,27.2,0.255,Wachovia Center,608603.0,14844.0,2007
736,Boston Celtics,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.337,0.199,0.53,0.479,15.4,27.0,0.259,TD Banknorth Garden,690576.0,16843.0,2007
737,Minnesota Timberwolves,32,50,30,52,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,0.291,0.167,0.537,0.49,14.8,25.1,0.231,Target Center,655947.0,15999.0,2007
738,Charlotte Bobcats,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,0.322,0.193,0.524,0.48,13.9,26.4,0.236,Charlotte Bobcats Arena,637520.0,15549.0,2007
739,Milwaukee Bucks,28,54,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,0.286,0.219,0.541,0.504,14.1,27.6,0.209,Bradley Center,663629.0,16186.0,2007
740,Portland Trail Blazers,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.241,Rose Garden Arena,670778.0,16360.0,2007
741,Atlanta Hawks,30,52,27,55,-4.76,-0.1,-4.86,103.0,108.3,-5.3,90.0,0.346,0.163,0.523,0.471,15.1,29.2,0.263,Philips Arena,639375.0,15595.0,2007
742,Memphis Grizzlies,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.374,0.211,0.555,0.504,15.2,25.9,0.285,FedEx Forum,600836.0,14655.0,2007
743,Boston Celtics,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,11.3,90.9,0.346,0.249,0.569,0.522,14.7,26.6,0.267,TD Banknorth Garden,763584.0,18624.0,2008
744,Detroit Pistons,59,23,62,20,7.39,-0.72,6.67,111.4,102.9,8.5,87.3,0.3,0.203,0.539,0.495,11.4,29.4,0.23,The Palace of Auburn Hills,905116.0,22076.0,2008
745,Los Angeles Lakers,57,25,59,23,7.26,0.09,7.34,113.0,105.5,7.5,95.6,0.333,0.257,0.57,0.525,12.9,26.3,0.256,STAPLES Center,778877.0,18997.0,2008
746,Utah Jazz,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,7.3,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,EnergySolutions Arena,816211.0,19908.0,2008
747,Orlando Magic,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,5.8,93.4,0.355,0.322,0.575,0.537,13.6,23.4,0.256,Amway Arena,709346.0,17301.0,2008
748,New Orleans Hornets,56,26,56,26,5.28,0.18,5.46,111.5,105.7,5.8,89.9,0.251,0.239,0.548,0.512,11.4,27.0,0.193,New Orleans Arena,581432.0,14181.0,2008
749,San Antonio Spurs,56,26,55,27,4.79,0.31,5.1,107.2,101.8,5.4,88.8,0.276,0.251,0.543,0.504,12.6,23.4,0.21,AT&T Center,761149.0,18565.0,2008
750,Houston Rockets,55,27,55,27,4.68,0.15,4.83,106.8,101.6,5.2,90.4,0.276,0.255,0.528,0.492,13.0,29.1,0.2,Toyota Center,718524.0,17525.0,2008
