,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm
47,Los Angeles Lakers,26.8,57,25,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,The Forum,605236.0,15130.9,1982,0.4638655462184874,1.0310377089858844,0.9870642313794085,1.022068014309728,0.8795116060646718,1.0235018575351316,1.047568803306076,0.9831346321605118,1.0855636123928805,0.8441885570349046,0.9971858235863159,0.9889599070307961,0.9892954456987154,0.772033746185604
48,Seattle SuperSonics,26.4,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.329,0.021,0.535,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214,King County Domed Stadium,721049.0,18026.225,1982,0.811764705882353,0.9954846845380955,0.9571248423707439,0.9913365803198139,1.015295854018516,0.9937812954288482,0.9929657961839444,0.943006687990695,0.9491100856954515,1.0055775458798129,0.9385278339635915,0.9622312608948286,1.0027247956403271,0.8835038592712261
49,Phoenix Suns,26.4,46,36,50,32,3.45,-0.4,3.05,105.8,102.4,3.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Arizona Veterans Memorial Coliseum,486855.0,12171.375,1982,0.9277310924369748,0.9898710490989707,0.9580604482772648,0.9863798974182147,0.9319737018650207,0.9993539008237763,1.0010551305724085,1.0633905205001455,0.9764007910349374,0.947643037063692,0.9506639697476034,0.9755955839628123,1.022122745555988,0.961945790701849
50,San Antonio Spurs,26.1,48,34,47,35,2.3,-0.52,1.79,109.9,107.6,2.3,102.5,0.307,0.033,0.537,0.49,13.0,34.0,0.238,0.487,13.7,68.8,0.256,HemisFair Arena,434278.0,10856.95,1982,1.2756302521008405,1.0282308912663223,1.0067119554163446,1.0161199948278092,0.9474037300415938,0.9974963656921336,0.9909434625868284,0.8694387903460309,1.030982201713909,0.9848866498740554,0.985049687802304,0.9154561301568854,1.0265991955365252,1.0569018129599714
51,Golden State Warriors,25.1,45,37,44,38,1.04,-0.24,0.8,108.8,107.7,1.1,101.4,0.324,0.044,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Oakland-Alameda County Coliseum Arena,391726.0,9793.15,1982,1.7008403361344537,1.0179392262945937,1.0076475613228653,1.0052152924442914,0.9998658258419427,1.0049265062187045,1.0152114657522202,0.9697586507705729,1.0552406064601185,0.964195753868298,0.9971858235863159,0.9421847762928529,1.0265991955365252,1.0569018129599714
52,Washington Bullets,26.0,43,39,43,39,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228,Capital Centre,379891.0,9497.275,1982,1.2756302521008405,0.9664809014359516,0.9589960541837855,0.9853885608378951,0.9072856567825035,0.9733484089807783,0.9666754594214367,0.9831346321605118,0.8914963744232036,0.939366678661389,0.9466185911529329,0.9288204532248693,1.0430128454651617,0.9413031771674746
53,New Jersey Nets,25.1,44,38,43,39,0.68,0.18,0.87,103.0,102.3,0.7,103.1,0.326,0.02,0.529,0.487,16.6,33.7,0.237,0.486,18.3,67.0,0.281,Brendan Byrne Arena,560734.0,13526.0,1982,0.773109243697479,0.9636740837163893,0.9571248423707439,1.022068014309728,1.006037837112572,0.9826360846389919,0.9848764617954805,1.1102064553649318,1.0218852999340804,0.9807484706729039,0.9830269985049687,1.2228355607205115,0.9997404956533023,1.1601148806318438
54,Portland Trail Blazers,24.7,42,40,43,39,0.6,-0.21,0.39,108.8,108.2,0.6,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15.0,65.9,0.223,Memorial Coliseum,519306.0,12982.65,1982,0.7344537815126051,1.0179392262945937,1.0123255908554691,0.996293263221413,1.02455387092446,1.0160717170085607,1.0253231337378002,0.9630706600756035,0.985497692814766,0.989024829075207,1.015390027262334,1.0023242300987798,0.983326845724666,0.9206605636331001
55,Atlanta Hawks,26.5,42,40,43,39,0.54,0.27,0.81,105.1,104.6,0.5,95.1,0.352,0.019,0.529,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Omni Coliseum,314593.0,7864.825,1982,0.7344537815126051,0.9833218077533253,0.9786437782207216,0.9427610878841429,1.0862739836307524,0.9826360846389919,0.9626307922272048,0.9764466414655424,0.9764007910349374,1.1214465635120547,0.9567320376396093,1.042417199302731,1.0086933956143764,1.1642434033387183
56,Denver Nuggets,27.0,46,36,42,40,0.52,-0.4,0.13,114.3,113.9,0.4,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,McNichols Sports Arena,456857.0,11421.425,1982,0.7344537815126051,1.0693975511532359,1.0656551275271529,1.0884875651911556,1.2004561921373942,1.0736553060894845,1.0556581376945398,0.943006687990695,0.9642715886618326,1.282835552356963,1.0679799489930524,0.9288204532248693,0.9594524458284676,0.8793753365643512
